lugar,implicado,fuente
Corregimiento Media Luna,Grupos Paramilitares,"Noche y Niebla # 2 Pp. 111 Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Rodrigo Tovar Pupo, alias ""Jorge 40"". Barranquilla, 7 de Julio de 2007 Unidad de Justicia y Paz. Masacres en Magdalena"
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 2 Pp.  111 Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 2 Pp. 112
"Veredas Puerto Nuevo Ité, La Congoja y la Troja",Grupos Paramilitares,Noche y Niebla # 2 Colombia nunca Más Crímenes de Lesa Humanidad Zona 14 Pp. 337
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 3 Pp. 23 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
,Grupos Paramilitares,Noche y Niebla # 3 Pp. 23 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal y Zona Rural,Grupos Paramilitares,Noche y Niebla # 3 Pp. 23-24 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Belén de Bajirá,Guerrilla-FARC ,Noche y Niebla # 3 Pp. 86
"Corregimientos Chilloa, Corocito y Mamoncito",Grupos Paramilitares,Noche y Niebla # 3 Pp. 25 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento La Encarnación,Grupos Paramilitares,Noche y Niebla # 3 Pp. 26 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Hacienda Montebello,Grupos Paramilitares,Noche y Niebla # 3 Pp. 26
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 3 Pp. 26 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Riofrío,Grupos Paramilitares,"Noche y Niebla # 3 Pp. 62 Versión Libre Adán Rojas Mendoza, alias ""El Negro"". Noviembre de 2008"
IPM San Francisco  ,Grupos Paramilitares,Noche y Niebla # 3 Pp. 33 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 338
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla #3 Pp. 41 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vereda 6 de Mayo,Grupos Paramilitares,Noche y Niebla # 3 Pp.  34 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar
Finca La Mundial,Grupos Paramilitares,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 593
Corregimiento Evitar,Guerrilla-FARC ,Noche y Niebla # 3 Pp. 98
Corregimiento Casacará,Guerrilla-FARC ,Noche y Niebla # 3 Pp. 98
IP San Antonio de Getucha,Guerrilla-FARC ,Noche y Niebla # 3 Pp. 99
Sitio Trinidad,Grupos Paramilitares,Noche y Niebla # 3 Pp. 35 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Unidad de Justicia y Paz. Masacres en Magdalena
Caserío Santa Rosalía y Vereda Cerro Azul,Grupos Paramilitares,Noche y Niebla # 3 Pp. 35 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Adán Rojas Ospina y Rigoberto Rojas Unidad de Justicia y Paz. Masacres en el Magdalena
"Corregimientos La Peña, Flor del Monte y San Rafael & Caserío El Palmar",Grupos Paramilitares,Noche y Niebla # 3 Pp. 36 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 3 Pp. 36 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 612
IPD San José de Apartado,Grupos Paramilitares,Noche y Niebla # 3 Pp. 37 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Fusil o Toga. Toga y Fusil. El Estado contra la comunidad de paz de San José de Apartado Pp. 32-33
Corregimientos Guacamayal y Soplador & Vereda La Montaña,Grupo Armado No Identificado,Noche y Niebla # 3 Pp. 75
Fincas Agrourabá y Carambolos,Grupos Paramilitares,Noche y Niebla # 3 Pp. 47
IPD San José de Apartado-Vereda La Victoria ,Grupos Paramilitares,Noche y Niebla # 3 Pp. 47
Zona Rural,Fuerza Pública-Ejército Nacional,Noche y Niebla # 3 Pp. 47 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Noche y Niebla # 4 Actualizaciones Pp. 158 Unidad de Justicia y Paz. Masacres en Magdalena
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 3 Pp. 76
Vereda Cañaveral,Fuerza Pública-Ejército Nacional,Noche y Niebla # 3 Pp. 49 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 503
Vereda La Pretel,Grupos Paramilitares,Noche y Niebla # 3 Pp. 48 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Currulao,Guerrilla-FARC ,Noche y Niebla # 3 Pp. 76 El Tiempo 11 de Marzo de 1997 Pág. 9
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 3 Pp. 77 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 
Corregimiento Libertad,Grupos Paramilitares,"Noche y Niebla # 3 Pp. 78 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Uber Enrique Banquez, alias ""Juancho Dique"". Barranquilla, 30 de Julio de 2008"
Corregimiento El Salado,Grupos Paramilitares,Noche y Niebl # 3  Pp. 50 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento La Victoria de San Isidro,Grupos Paramilitares,Noche y Niebla # 3 Pp. 50 Versión Libre de Salvatore Mancuso el 15 de Enero de 2007 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Puerto Coca,Grupos Paramilitares,Noche y Niebla # 3 Pp. 51 Versión Libre de Salvatore Mancuso el 15 de Enero de 2007 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Bolívar
Corregimientos Barragán y Monteloro,Guerrilla-FARC ,Noche y Niebla # 4 Pp. 93
Corregimiento Tabacal,Guerrilla-FARC ,Noche y Niebla # 4 Pp. 95
Caserío San Cristobal,Grupos Paramilitares,Noche y Niebla # 4 Pp. 26-27 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento La Buena Esperanza,Grupos Paramilitares,Noche y Niebla # 41 Actualizaciones Pp. 172
Corregimiento Pajonal,Grupos Paramilitares,Noche y Niebla # 4 Pp. 66 Versión Libre de Salvatore Mancuso el 15 de Enero de 2007
,Grupos Paramilitares,Noche y Niebla # 4 Pp. 35 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Caserío Santa Rosalía,Grupos Paramilitares,"Noche y Niebla # 4 Pp. 35 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Adan Rojas Mendoza- alias ""El Negro""- 9 de Octubre de 2009"
Caserío Los Brasiles,Grupos Paramilitares,Noche y Niebla # 4 Pp. 38 Versión Libre de Salvatore Mancuso el 15 de Enero de 2007 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Unidad de Justicia y Paz. Masacres en el Cesar
Corregimiento Buenos Aires-Vereda San José de Morrocoy,Grupos Paramilitares,Noche y Niebla # 4 Pp. 74 Versión Libre de Salvatore Mancuso el 15 de Enero de 2007 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Pavarandocito-Veredas La Secreta y Malvinas,Grupos Paramilitares,Noche y Niebla # 4 Pp. 42
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 5 Actualizaciones Pp. 168-169 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 507
Corregimiento El Tres,Guerrilla-FARC ,Noche y Niebla # 4 Pp. 113
Corregimiento Orihueca,Grupos Paramilitares,Noche y Niebla # 4 Pp. 51 Unidad de Justicia y Paz. Masacres en el Magdalena
Cabecera Municipal,Guerrilla-ELN ,Noche y Niebla # 4 Pp. 121
Vía a Convencion,Grupos Paramilitares,Noche y Niebla # 4 Pp. 52 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 4 Pp. 53 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento El Carmen,Fuerza Pública-Ejército Nacional,Noche y Niebla # 4 Pp. 54 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Bolívar
Corregimiento La Floresta,Grupos Paramilitares,Noche y Niebla # 4 Pp. 56 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 4 Pp. 56 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Zona Rural,Grupos Paramilitares,Noche y Niebla # 5 Pp. 22 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vereda El Rayo,Grupos Paramilitares,Noche y Niebla # 5 Pp. 23 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal e IPM La Cooperativa,Grupos Paramilitares,"Noche y Niebla # 5 Pp. 24-25 Versión Libre de Salvatore Mancuso. Medellin, 15 de Enero de 2007. Sentencia de la Corte Interamericana de Derechos Humanos 15 de Septiembre de 2005 Colombia Nunca Más. Crimenes de Lesa Humanidad. Zona 7 Pp. 396-399"
Corregimiento Santa Cecilia,Grupos Paramilitares,Noche y Niebla # 5 Pp. 26 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Resguardo Indígena Coreguaje,Guerrilla-FARC ,Noche y Niebla # 5 Pp. 88
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 5 Pp. 27 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Caserío Camparrusia,Grupos Paramilitares,Noche y Niebla # 5 Pp. 28 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Aguas Blancas,Grupos Paramilitares,Noche y Niebla # 5 Pp. 28 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
IPD Riogrande,Grupos Paramilitares,Noche y Niebla # 5 Pp. 28-29 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 5 Pp. 39 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Sitios La Negra y Marmajito,Grupos Paramilitares,Noche y Niebla # 5 Pp. 39 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 510 Memoria Histórica. Las masacres de Remedios y Segovia 1982-1997
Vereda El Charcón,Grupo Armado No Identificado,Noche y Niebla # 5 Pp. 63
Corregimiento Atanquez,Grupos Paramilitares,Noche y Niebla # 5 Pp. 39 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vereda El Carmen  ,Grupo Armado No Identificado,Noche y Niebla # 5 Pp. 63
"Corregimiento San Isidro-Veredas El Chaquiro, Betania y Alto Poleo ",Grupos Paramilitares,Noche y Niebla # 5 Pp. 41
Corregimiento Badillo,Grupos Paramilitares,Noche y Niebla # 5 Pp. 108
Caserío Arroyo Grande,Grupos Paramilitares,Noche y Niebla # 5 Pp. 41 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vereda Santa Rosa y Sitio La Lagunita,Guerrilla-FARC ,Noche y Niebla # 5 Pp. 119
Corregimiento Pijiguay,Grupos Paramilitares,Noche y Niebla # 5 Versión Libre de Salvatore Mancuso 15 de Enero
Corregimiento Barranca Vieja,Grupos Paramilitares,Noche y Niebla # 5 Pp. 120 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Ciénaga El Sábalo,Fuerza Pública-Ejército Nacional,Noche y Niebla # 5 Pp. 121 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5
Corregimiento Macayepos (El Carmen de Bolívar) & Corregimiento Chengue y Caserío Salitral (Ovejas),Grupos Paramilitares,Noche y Niebla # 5 Pp. 121 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Algarrobo,Grupos Paramilitares,"Noche y Niebla # 5 Pp. 123 Versión Libre Rodrigo Tovar Pupo, alias ""Jorge 40"". Barranquilla, 7 de Julio de 2007 Unidad de Justicia y Paz. Masacres en Magdalena"
Corregimiento Mariangola,Grupos Paramilitares,Noche y Niebla # 5 Pp. 123 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vereda La Madera,Grupo Armado No Identificado,Noche y Niebla # 5 Pp. 73
Corregimiento Gaira-Vereda El Mosquito,Grupos Paramilitares,"Noche y Niebla # 5 Pp. 124 Versión Libre Adan Rojas Mendoza, alias ""El Negro"", 19 de Noviembre de 2008"
Corregimiento Riofrío,Grupos Paramilitares,Noche y Niebla # 5 Pp. 123 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Sitio Las Lomitas,Grupos Paramilitares,Noche y Niebla # 6 Pp. 23 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crimenes de Lesa Humanidad. Zona 7 Pp. 410
Cabecera Municipal y Caserío La Quiebra,Grupos Paramilitares,Noche y Niebla # 6 Pp. 23 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Juntas de Uramita,Grupos Paramilitares,Noche y Niebla # 6 Pp. 25 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
,Guerrilla-ELN ,Noche y Niebla # 6 Pp. 85
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 6 Pp. 58
 ,Grupos Paramilitares,"Noche y Niebla # 6 Pp. 25 Versión Libre de Rodrigo Tovar Pupo, alias ""Jorge 40"". Barranquilla, 9 de Julio de 2007 Unidad de Justicia y Paz. Masacres en el Magdalena"
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 6 Pp. 26 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 6 Pp. 27 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander
Corregimiento El Aro,Grupos Paramilitares,"Noche y Niebla # 6 Pp. 27 Versión Libre de Salvatore Mancuso. Medellin, el 15 de Enero de 2007. Comisión Interamericana de Derechos Humanos -Informe de Admisibilidad No 75 de 2001. Demanda ante la Corte Interamericana de Derechos Humanos 30 de Julio de 2004 Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003"
Corregimiento Casacará,Grupos Paramilitares,"Noche y Niebla # 6 Pp. 33 Audiencia de Imputación Jhon Jairo Esquivel Cuadrado, alias ""El Tigre"", 7 de Noviembre de 2008"
Vereda Minas del Vapor,Grupos Paramilitares,Noche y Niebla # 6 Pp. 33 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 306
Zona Rural,Grupos Paramilitares,Noche y Niebla # 6 Pp. 34 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 595
Caserío El Porce,Guerrilla-ELN ,Noche y Niebla # 6 Pp. 108
Vía a El Retorno,Grupos Paramilitares,Noche y Niebla # 6 Pp. 35
Corregimiento Badillo,Grupos Paramilitares,Noche y Niebla # 6 Pp. 36
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 6 Pp.  36 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 6 Pp. 37 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Sitio Montañitas,Grupos Paramilitares,Noche y Niebla # 6 Pp. 37 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 612-613
Caserío La Horqueta,Grupos Paramilitares,"Noche y Niebla # 6 Pp. 37 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Efrain Homero Hernández Padilla, alias ""Armero"" ó ""Leopardo"""
Vereda La Magdalena,Grupos Paramilitares,Noche y Niebla # 6 Pp. 38  En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vereda Iracá,Grupos Paramilitares,Noche y Niebla # 6 Pp.  38 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crimenes de Lesa Humanidad. Zona 7 Pp. 412
"IP La Balsita y Veredas Antasales, Buenavista, Tucunal, Galilea, Chamuscados y Argelia",Grupos Paramilitares,"Noche y Niebla # 6 Pp. 38-39 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Salvatore Mancuso. Medellin, 16 de Enero de 2007"
Corregimientos Riofrío y Sevillano-Vereda Ceibales (Riofrío) y Vereda La Mira (Sevilla),Grupos Paramilitares,"Noche y Niebla # 6 Pp. 39 Versión Libre de Salvatore Mancuso el 16 de Enero de 2007 Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Rodrigo Tovar Pupo, alias ""Jorge 40"". Barranquilla, 9 de Julio de 2009 Unidad de Justicia y Paz. Masacres en el Magdalena"
"Cabecera Municipal (La Paz), Corregimiento Casacará (Agustín Codazzi) y Sitio Puente Sororia (La Jagua de Ibirico)",Grupos Paramilitares,Noche y Niebla # 6 Pp. 123 Versión Libre de Salvatore Mancuso el 16 de Enero de 2007 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003. Unidad de Justicia y Paz. Masacres en el Cesar
Sitio El Cantaro,Grupos Paramilitares,Noche y Niebla # 6 Pp. 124 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Grupos Paramilitares,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Bolívar Pp. 69
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 6 Pp. 124 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
IPD San José de Apartado-Vereda Los Mandarinos,Guerrilla-FARC ,Noche y Niebla # 6 Pp. 125
Vereda Sofia,Grupos Paramilitares,Noche y Niebla # 6 Pp. 53
"Veredas Remacho, Uradá, Santa Fe, Apartadocito, Arrastradero, Zapayal, Nueva Esperanza y Andalucia, Corregimiento Puerto Lleras y Caserío Llano Rico",Grupos Paramilitares,Noche y Niebla # 6 Pp. 126-127 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
IPD Potrerito-Vereda Caparrozal,Grupos Paramilitares,Noche y Niebla # 6 Pp. 129 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
IPD La Vega,Grupos Paramilitares,En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 231
Sitio La Ye,Fuerza Pública-Ejército Nacional,Noche y Niebla # 7 y 8 Pp. 28
IPD Llanos de San José y Sitio La Playa,Grupos Paramilitares,Noche y Niebla # 7 y 8 Pp. 31 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 7 y 8 Pp. 34
Vereda Campo Alegre,Fuerza Pública-Ejército Nacional,Noche y Niebla # 7 y 8 Pp. 34
Sitio Agua Verde,Fuerza Pública-Ejército Nacional,Noche y Niebla # 7 y 8 Pp. 37
Corregimiento La Buena Esperanza,Grupos Paramilitares,Noche y Niebla # 7 y 8 Pp. 37-38 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santader
Corregimiento Pavarandó Grande-Vereda Los Narajos,Grupos Paramilitares,En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia Pp. 233
Vía a Buenaventura,Fuerza Pública-Ejército Nacional,Noche y Niebla # 7 y 8 Pp. 40-41
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 7 y 8 Pp. 49
Caserío La Fortuna-Vereda Peroles,Grupos Paramilitares,Noche y Niebla # 7 y 8 Pp. 49 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia Pp. 235. Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5
Corregimiento Pavarandó Grande,Grupos Paramilitares,Noche y Niebla # 7 y 8 Pp. 50 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia Pp. 235
Corregimiento San José,Grupos Paramilitares,En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia Pp. 235
Corregimiento El Sudán-Vereda Santa Lucía,Grupos Paramilitares,Noche y Niebla # 7 y 8 Pp. 56 Versión Libre de Salvatore Mancuso el 16 de Enero de 2007
Vereda Brisas del Palmar,Guerrilla-FARC ,Noche y Niebla # 7 y 8 Pp. 76
Corregimiento El Jordán,Grupos Paramilitares,Noche y Niebla # 7 y 8 Pp. 78 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 236
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 7 y 8 Pp. 80 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 236
Vereda Puerto Virginia,Grupos Paramilitares,En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 236-237
Vía a Valparaiso,Grupos Paramilitares,Noche y Niebla # 7 y 8 Pp. 90-91
Vereda Churuyaco,Guerrilla-FARC ,Noche y Niebla # 7 y 8 Pp. 91
Corregimiento Juan José-Vereda Barranco Colorado,Grupos Paramilitares,Noche y Niebla # 7 y 8 Pp. 93 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
,Guerrilla-FARC ,Noche y Niebla # 7 y 8 Pp. 93 
"Veredas El Costeñal, La Ceiba y La Virgen",Grupos Paramilitares,Noche y Niebla # 7 y 8 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 237 Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 7 Pp. 511
Corregimiento San Félix-Vereda Los Álvarez,Grupos Paramilitares,Noche y Niebla # 7 y 8 Pp. 94 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 238
